id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude
17020361,11384281,RaÃºl,Entire home/apt,Centro,Cortes,120,62,40.41283,-3.69572
17024286,114186788,Conchi,Private room,Centro,Sol,51,119,40.41529,-3.7071
17026688,27774629,Paty&Karen,Entire home/apt,Centro,Justicia,79,144,40.42244,-3.69973
17027532,13203132,Beatriz,Entire home/apt,Centro,Cortes,96,39,40.41465,-3.70052
17027612,49765515,Sam,Entire home/apt,Centro,Embajadores,65,28,40.40812,-3.71037
17030232,114253146,Daniel,Entire home/apt,Chamartín,Nueva EspaÃ±a,110,112,40.46422,-3.67991
17032306,3053459,Francisco,Entire home/apt,Carabanchel,Comillas,72,116,40.39605,-3.7147
17032853,112765104,Marina,Private room,Tetuán,Castillejos,85,22,40.45832,-3.69456
17032903,596469,Gabriel Avalos,Hotel room,Salamanca,Lista,180,9,40.43247,-3.67413
17033015,38641743,ChloÃ©,Private room,Arganzuela,Delicias,21,31,40.3955,-3.69212
17034092,101930506,Julia,Private room,Arganzuela,Chopera,28,21,40.3942,-3.69623
17034325,37291567,Luis,Hotel room,Centro,Justicia,120,1,40.4267,-3.69859
17034469,9285245,Asier,Entire home/apt,Centro,Universidad,220,77,40.42672,-3.70275
17035079,114302170,Maya,Entire home/apt,Centro,Embajadores,90,124,40.41091,-3.69968
17035580,28040602,Henrique,Entire home/apt,Centro,Palacio,45,100,40.41063,-3.71397
17039879,5918751,Miguel Ãngel,Entire home/apt,Centro,Palacio,180,0,40.41274,-3.70781
17041499,32046323,Juan,Entire home/apt,Retiro,Jerónimos,285,0,40.41392,-3.69021
17042796,48219632,Pedro,Private room,Villaverde,Los Rosales,20,93,40.34983,-3.69139
17044186,96846155,Mercedes,Entire home/apt,Retiro,Pacífico,42,165,40.40341,-3.67418
17047018,83018890,Jorge,Entire home/apt,Centro,Sol,280,138,40.41549,-3.70717
17049631,99991901,Arizonica Espacios Para Vivir,Entire home/apt,Centro,Universidad,120,38,40.42332,-3.70804
